Date,Temp1,Intensity1,Temp2,Intensity2,Temp3,Intensity3
11/27/22,76.876,200,76.528,224,76.703,102
11/27/22,79.678,1088,79.678,704,79.326,384
11/27/22,77.225,0,76.876,0,77.05,0
11/28/22,76.876,0,76.703,0,76.876,0
11/28/22,77.574,15,77.4,16,77.4,22
11/28/22,78.975,496,78.8,432,78.624,768
11/28/22,77.574,0,77.4,0,77.574,0
11/29/22,76.354,0,76.006,0,76.181,0
11/29/22,75.659,48,75.659,37,75.832,30
11/29/22,81.266,512,81.621,496,81.09,352
11/29/22,79.853,0,79.502,0,79.678,0
11/30/22,76.876,0,77.4,0,77.923,0
11/30/22,77.05,38,76.876,128,76.876,71
11/30/22,82.864,480,82.152,368,82.33,464
11/30/22,80.206,0,79.853,0,80.029,0
12/1/22,77.749,0,77.749,0,77.923,0
12/1/22,77.05,63,76.876,35,76.876,31
12/1/22,81.797,608,81.09,352,81.09,672
12/1/22,78.098,0,77.923,0,78.098,0
12/2/22,76.528,0,76.181,0,76.354,0
12/2/22,76.354,62,76.181,22,76.181,42
12/2/22,78.8,208,78.449,176,78.098,304
12/2/22,77.05,0,76.876,0,77.225,0
12/3/22,76.006,0,75.832,0,75.832,0
12/3/22,76.181,28,76.181,35,76.354,53
12/3/22,81.621,1024,80.911,512,81.09,496
12/3/22,77.05,0,76.703,0,76.876,0
12/4/22,77.4,0,77.225,0,77.4,0
12/4/22,77.4,125,77.225,20,77.4,52
12/4/22,80.206,136,80.029,184,79.853,336
12/4/22,76.006,0,75.659,0,76.006,0
12/5/22,75.484,0,75.484,0,75.659,0
12/5/22,75.659,30,75.139,4,75.484,26
12/5/22,80.382,136,79.853,20,80.029,128
12/5/22,76.703,0,76.528,0,74.619,0
12/6/22,76.703,0,76.181,0,76.354,0
12/6/22,76.528,76,76.354,53,76.528,43
12/6/22,79.853,512,79.678,400,79.853,576
12/6/22,76.876,0,77.05,0,76.006,0
12/7/22,76.703,0,76.528,0,76.703,0
12/7/22,76.703,168,76.528,49,76.703,20
12/7/22,79.853,864,79.678,49,79.678,184
12/7/22,74.964,0,74.098,0,73.926,0
12/8/22,76.703,0,76.528,0,76.703,0
12/8/22,76.528,192,76.181,48,76.354,144
12/8/22,78.624,576,78.274,416,78.8,896
12/8/22,72.891,0,73.58,0,72.718,0
12/9/22,74.964,0,74.791,0,74.964,0
12/9/22,76.006,248,76.006,65,76.006,110
12/9/22,78.449,704,78.274,38,78.274,464
12/9/22,71.856,0,73.753,0,70.995,0
12/10/22,74.964,0,74.791,0,74.964,0
12/10/22,75.659,105,75.484,8,75.659,41
12/10/22,80.382,1664,80.735,111,80.559,336
12/10/22,75.312,0,73.753,0,74.791,0
12/11/22,74.446,0,73.926,0,74.446,0
12/11/22,75.312,71,74.964,5,75.312,32
12/11/22,80.382,512,80.911,78,80.735,576
12/11/22,75.832,0,75.484,0,75.659,0
12/12/22,75.312,0,75.139,0,75.312,0
12/12/22,75.484,127,75.139,1,75.312,21
12/12/22,78.975,768,77.4,52,79.502,416
12/12/22,75.484,0,75.312,0,75.312,0
12/13/22,74.271,0,73.753,0,74.271,0
12/13/22,75.312,54,74.964,1,75.139,16
12/13/22,80.029,768,80.382,73,80.559,512
12/13/22,76.354,0,76.181,0,76.354,0
12/14/22,75.139,0,74.791,0,75.139,0
12/14/22,74.964,152,74.619,3,75.139,37
12/14/22,78.8,480,78.098,14,78.975,144
12/14/22,76.528,0,76.354,0,76.528,0
12/15/22,75.659,0,75.484,0,75.659,0
12/15/22,76.006,104,75.659,3,76.006,50
12/15/22,81.797,480,80.029,55,82.152,448
12/15/22,78.975,0,78.8,0,78.975,0
12/16/22,76.703,0,76.528,0,76.703,0
12/16/22,75.312,40,74.791,2,75.139,7
12/16/22,80.911,864,79.853,85,81.266,400
12/16/22,77.225,0,77.225,0,77.225,0
12/17/22,76.181,0,76.006,0,76.181,0
12/17/22,75.484,88,75.139,8,75.484,41
12/17/22,80.911,512,79.502,18,81.621,672
12/17/22,78.274,0,78.098,0,78.274,0
12/18/22,76.703,0,76.528,0,76.703,0
12/18/22,76.006,6,75.832,0,76.006,3
12/18/22,76.006,216,75.312,31,75.659,160
12/18/22,75.312,0,74.964,0,75.139,0
12/19/22,75.832,0,75.659,0,75.659,0
12/19/22,75.312,160,74.964,11,75.139,152
12/19/22,75.312,91,74.964,32,75.139,136
12/19/22,73.58,0,73.407,0,73.407,0
12/20/22,74.791,0,74.446,0,74.619,0
12/20/22,74.098,25,73.926,4,73.926,25
12/20/22,80.206,672,77.749,54,79.326,3840
12/20/22,74.446,0,74.098,0,74.271,0
12/21/22,73.407,0,73.062,0,73.062,0
12/21/22,74.098,31,73.753,16,73.926,39
12/21/22,78.449,672,76.354,21,78.274,480
12/21/22,74.098,0,73.753,0,72.891,0
12/22/22,74.446,0,74.098,0,74.271,0
12/22/22,74.791,45,74.446,0,74.619,40
12/22/22,81.975,512,80.029,16,82.33,448
12/22/22,71.168,0,73.58,0,71.168,0
12/23/22,75.484,0,75.312,0,75.312,0
12/23/22,74.791,28,74.619,0,74.791,10
12/23/22,81.442,3200,79.502,45,81.975,480
12/23/22,71.339,0,73.234,0,71.339,0
12/24/22,75.484,0,75.312,0,75.312,0
12/24/22,75.832,41,75.484,0,75.659,13
12/24/22,79.326,768,77.574,5,78.975,864
12/24/22,76.006,0,74.964,0,76.354,0
12/25/22,75.139,0,74.791,0,74.791,0
12/25/22,75.312,20,75.139,0,75.312,56
12/25/22,82.864,1536,80.382,15,82.508,1152
12/25/22,78.975,0,78.8,0,78.975,0
12/26/22,76.006,0,76.181,0,76.703,0
12/26/22,76.354,84,76.006,0,76.181,54
